rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
33,1,42004177,24353.0,24353.0,24334.0,24334.0,3,NQU6
33,1,42004177,24335.0,24335.0,24309.25,24309.25,3,NQU6
33,1,42004177,24300.0,24324.5,24300.0,24324.5,3,NQU6
33,1,42004177,24320.25,24332.75,24310.75,24319.5,10,NQU6
33,1,42004177,24316.25,24340.75,24310.0,24315.75,24,NQU6
33,1,42004177,24318.5,24344.5,24318.5,24332.25,17,NQU6
33,1,42004177,24343.75,24368.25,24340.75,24360.75,11,NQU6
33,1,42004177,24360.5,24360.5,24360.5,24360.5,1,NQU6
33,1,42004177,24378.0,24378.25,24355.25,24370.25,25,NQU6
33,1,42004177,24369.5,24369.5,24352.0,24357.0,8,NQU6
33,1,42004177,24370.25,24373.5,24363.25,24363.25,6,NQU6
33,1,42004177,24339.0,24348.25,24339.0,24348.25,4,NQU6
33,1,42004177,24347.5,24379.75,24347.5,24374.0,5,NQU6
33,1,42004177,24376.0,24391.0,24376.0,24376.25,5,NQU6
33,1,42004177,24380.5,24380.5,24380.5,24380.5,1,NQU6
33,1,42004177,24366.75,24366.75,24359.25,24359.25,3,NQU6
33,1,42004177,24372.0,24373.25,24368.0,24368.0,3,NQU6
33,1,42004177,24373.25,24373.25,24364.75,24364.75,2,NQU6
33,1,42004177,24367.0,24369.25,24367.0,24369.25,2,NQU6
33,1,42004177,24394.75,24400.0,24394.75,24400.0,6,NQU6
33,1,42004177,24387.75,24387.75,24383.25,24385.75,3,NQU6
33,1,42004177,24384.75,24391.25,24384.75,24386.25,3,NQU6
33,1,42004177,24386.25,24386.25,24375.25,24385.25,22,NQU6
33,1,42004177,24388.25,24388.25,24384.0,24384.25,11,NQU6
33,1,42004177,24383.25,24401.0,24380.75,24401.0,3,NQU6
33,1,42004177,24401.5,24418.25,24401.5,24418.25,6,NQU6
33,1,42004177,24404.25,24404.25,24404.25,24404.25,1,NQU6
33,1,42004177,24390.0,24390.0,24383.0,24385.75,4,NQU6
33,1,42004177,24390.25,24390.25,24390.25,24390.25,1,NQU6
33,1,42004177,24404.5,24419.0,24399.75,24419.0,6,NQU6
33,1,42004177,24421.5,24430.0,24421.5,24430.0,3,NQU6
33,1,42004177,24421.5,24421.5,24421.5,24421.5,1,NQU6
33,1,42004177,24399.0,24399.0,24374.0,24374.0,4,NQU6
33,1,42004177,24385.25,24385.25,24375.75,24375.75,4,NQU6
33,1,42004177,24351.75,24366.25,24351.75,24363.25,3,NQU6
33,1,42004177,24359.5,24359.5,24356.75,24358.0,4,NQU6
33,1,42004177,24368.5,24368.5,24355.0,24357.0,5,NQU6
33,1,42004177,24371.25,24379.5,24371.25,24379.5,2,NQU6
33,1,42004177,24396.25,24437.75,24396.25,24419.75,14,NQU6
33,1,42004177,24412.25,24412.25,24386.25,24386.25,8,NQU6
33,1,42004177,24396.0,24409.75,24396.0,24409.75,3,NQU6
33,1,42004177,24412.5,24413.0,24411.0,24413.0,3,NQU6
33,1,42004177,24418.0,24418.0,24418.0,24418.0,1,NQU6
33,1,42004177,24400.0,24400.0,24400.0,24400.0,1,NQU6
33,1,42004177,24421.75,24424.25,24421.75,24424.25,2,NQU6
33,1,42004177,24442.25,24453.25,24442.25,24453.25,2,NQU6
33,1,42004177,24443.5,24443.5,24443.5,24443.5,1,NQU6
33,1,42004177,24430.5,24437.5,24430.5,24437.5,2,NQU6
33,1,42004177,24453.0,24453.0,24451.0,24451.0,3,NQU6
33,1,42004177,24455.0,24468.25,24455.0,24468.25,2,NQU6
33,1,42004177,24460.0,24460.0,24460.0,24460.0,1,NQU6
33,1,42004177,24461.75,24462.5,24461.75,24462.5,3,NQU6
33,1,42004177,24454.25,24457.0,24454.25,24457.0,2,NQU6
33,1,42004177,24479.75,24479.75,24479.75,24479.75,1,NQU6
33,1,42004177,24475.0,24475.0,24475.0,24475.0,1,NQU6
33,1,42004177,24467.75,24467.75,24467.75,24467.75,1,NQU6
33,1,42004177,24482.5,24483.0,24482.5,24483.0,2,NQU6
33,1,42004177,24492.75,24500.0,24490.75,24490.75,11,NQU6
33,1,42004177,24486.0,24486.0,24483.0,24483.0,2,NQU6
33,1,42004177,24492.25,24492.25,24492.25,24492.25,1,NQU6
33,1,42004177,24483.25,24493.0,24483.25,24493.0,3,NQU6
33,1,42004177,24480.0,24487.0,24480.0,24487.0,4,NQU6
33,1,42004177,24475.25,24484.25,24471.5,24475.75,15,NQU6
33,1,42004177,24474.0,24483.0,24469.75,24480.75,35,NQU6
33,1,42004177,24479.0,24488.25,24479.0,24484.75,7,NQU6
33,1,42004177,24491.75,24494.0,24487.5,24493.5,15,NQU6
33,1,42004177,24495.75,24495.75,24495.75,24495.75,1,NQU6
33,1,42004177,24490.5,24490.5,24490.5,24490.5,1,NQU6
33,1,42004177,24486.5,24486.5,24478.25,24478.25,2,NQU6
33,1,42004177,24483.5,24483.5,24483.0,24483.0,2,NQU6
33,1,42004177,24482.0,24488.0,24482.0,24488.0,3,NQU6
33,1,42004177,24483.5,24483.5,24483.5,24483.5,1,NQU6
33,1,42004177,24472.5,24473.25,24467.25,24473.25,5,NQU6
33,1,42004177,24474.0,24475.0,24464.5,24464.5,4,NQU6
33,1,42004177,24463.0,24463.0,24450.25,24450.25,5,NQU6
33,1,42004177,24477.25,24491.5,24477.25,24491.5,5,NQU6
33,1,42004177,24505.5,24505.5,24505.5,24505.5,1,NQU6
33,1,42004177,24500.0,24500.0,24500.0,24500.0,2,NQU6
33,1,42004177,24515.25,24515.25,24510.75,24510.75,2,NQU6
33,1,42004177,24511.0,24511.0,24511.0,24511.0,1,NQU6
33,1,42004177,24500.0,24507.75,24500.0,24507.75,2,NQU6
33,1,42004177,24515.75,24515.75,24515.75,24515.75,1,NQU6
33,1,42004177,24526.0,24535.5,24522.25,24535.5,17,NQU6
33,1,42004177,24530.0,24536.0,24525.25,24533.75,39,NQU6
33,1,42004177,24539.75,24539.75,24538.0,24539.5,7,NQU6
33,1,42004177,24533.5,24535.0,24523.5,24523.5,7,NQU6
33,1,42004177,24517.5,24520.0,24517.5,24520.0,2,NQU6
33,1,42004177,24517.0,24517.0,24517.0,24517.0,1,NQU6
33,1,42004177,24540.0,24543.75,24540.0,24543.75,3,NQU6
33,1,42004177,24525.0,24525.0,24525.0,24525.0,1,NQU6
33,1,42004177,24521.75,24527.25,24521.75,24527.25,2,NQU6
33,1,42004177,24533.25,24535.0,24531.0,24535.0,10,NQU6
33,1,42004177,24509.0,24509.0,24509.0,24509.0,1,NQU6
33,1,42004177,24523.5,24523.5,24523.5,24523.5,1,NQU6
33,1,42004177,24529.0,24529.0,24529.0,24529.0,1,NQU6
33,1,42004177,24532.75,24532.75,24532.75,24532.75,1,NQU6
33,1,42004177,24540.0,24541.75,24540.0,24541.75,4,NQU6
33,1,42004177,24540.25,24540.25,24540.25,24540.25,1,NQU6
33,1,42004177,24538.25,24538.25,24538.25,24538.25,1,NQU6
33,1,42004177,24546.0,24546.0,24546.0,24546.0,1,NQU6
33,1,42004177,24542.75,24545.0,24535.75,24543.75,20,NQU6
33,1,42004177,24538.75,24543.75,24536.0,24543.75,10,NQU6
33,1,42004177,24540.25,24540.25,24540.25,24540.25,1,NQU6
33,1,42004177,24550.0,24556.25,24550.0,24556.25,3,NQU6
33,1,42004177,24561.75,24561.75,24561.5,24561.5,3,NQU6
33,1,42004177,24558.0,24558.0,24558.0,24558.0,1,NQU6
33,1,42004177,24563.75,24563.75,24562.0,24562.0,2,NQU6
33,1,42004177,24557.75,24557.75,24557.75,24557.75,1,NQU6
33,1,42004177,24560.25,24560.25,24560.25,24560.25,1,NQU6
33,1,42004177,24561.5,24561.5,24561.5,24561.5,1,NQU6
33,1,42004177,24554.0,24558.0,24554.0,24558.0,2,NQU6
33,1,42004177,24557.25,24561.25,24553.0,24553.0,15,NQU6
33,1,42004177,24556.0,24559.0,24554.5,24559.0,10,NQU6
33,1,42004177,24561.5,24561.5,24561.5,24561.5,1,NQU6
33,1,42004177,24558.0,24561.5,24558.0,24561.5,4,NQU6
33,1,42004177,24560.5,24560.5,24560.5,24560.5,1,NQU6
33,1,42004177,24555.75,24555.75,24555.75,24555.75,1,NQU6
33,1,42004177,24554.5,24554.5,24554.5,24554.5,1,NQU6
33,1,42004177,24527.0,24527.0,24527.0,24527.0,1,NQU6
33,1,42004177,24528.25,24528.25,24528.25,24528.25,1,NQU6
33,1,42004177,24514.5,24514.5,24514.5,24514.5,1,NQU6
33,1,42004177,24518.5,24518.5,24518.5,24518.5,1,NQU6
33,1,42004177,24516.5,24516.5,24516.5,24516.5,1,NQU6
33,1,42004177,24508.75,24508.75,24508.75,24508.75,1,NQU6
33,1,42004177,24503.0,24503.0,24503.0,24503.0,1,NQU6
33,1,42004177,24497.25,24497.25,24496.25,24496.25,2,NQU6
33,1,42004177,24484.25,24485.25,24484.25,24485.25,4,NQU6
33,1,42004177,24474.75,24474.75,24471.25,24471.25,4,NQU6
33,1,42004177,24472.0,24472.25,24467.5,24471.25,5,NQU6
33,1,42004177,24468.75,24468.75,24446.0,24446.25,6,NQU6
33,1,42004177,24438.0,24450.5,24438.0,24450.5,5,NQU6
33,1,42004177,24457.0,24457.0,24457.0,24457.0,1,NQU6
33,1,42004177,24451.25,24451.25,24451.25,24451.25,1,NQU6
33,1,42004177,24450.75,24450.75,24450.75,24450.75,1,NQU6
33,1,42004177,24444.75,24444.75,24444.75,24444.75,1,NQU6
33,1,42004177,24456.0,24456.0,24456.0,24456.0,1,NQU6
33,1,42004177,24452.0,24461.0,24452.0,24456.75,3,NQU6
33,1,42004177,24448.0,24448.0,24448.0,24448.0,1,NQU6
33,1,42004177,24431.0,24431.0,24429.5,24429.5,3,NQU6
33,1,42004177,24420.0,24420.0,24420.0,24420.0,2,NQU6
33,1,42004177,24400.0,24400.0,24400.0,24400.0,1,NQU6
33,1,42004177,24392.25,24394.25,24392.25,24394.25,3,NQU6
33,1,42004177,24410.25,24410.25,24405.75,24405.75,2,NQU6
33,1,42004177,24396.75,24396.75,24396.75,24396.75,1,NQU6
33,1,42004177,24368.0,24369.0,24368.0,24368.75,3,NQU6
33,1,42004177,24364.75,24369.0,24364.75,24369.0,2,NQU6
33,1,42004177,24376.0,24381.0,24376.0,24381.0,3,NQU6
33,1,42004177,24384.0,24384.0,24384.0,24384.0,1,NQU6
33,1,42004177,24373.25,24373.25,24373.25,24373.25,1,NQU6
33,1,42004177,24368.0,24369.25,24364.25,24369.25,3,NQU6
33,1,42004177,24358.0,24358.0,24358.0,24358.0,1,NQU6
33,1,42004177,24360.25,24363.0,24356.5,24357.5,11,NQU6
33,1,42004177,24353.25,24353.25,24353.25,24353.25,1,NQU6
33,1,42004177,24349.0,24349.0,24349.0,24349.0,1,NQU6
33,1,42004177,24347.75,24347.75,24347.75,24347.75,2,NQU6
33,1,42004177,24341.5,24352.25,24341.5,24352.25,3,NQU6
33,1,42004177,24372.5,24381.25,24372.5,24381.25,4,NQU6
33,1,42004177,24386.0,24389.0,24386.0,24389.0,2,NQU6
33,1,42004177,24416.5,24416.5,24405.0,24405.0,3,NQU6
33,1,42004177,24399.0,24399.0,24399.0,24399.0,2,NQU6
33,1,42004177,24401.0,24401.0,24391.25,24391.25,2,NQU6
33,1,42004177,24398.25,24398.25,24384.0,24384.0,7,NQU6
33,1,42004177,24381.75,24384.0,24381.75,24384.0,2,NQU6
33,1,42004177,24373.75,24373.75,24373.75,24373.75,1,NQU6
33,1,42004177,24366.75,24366.75,24366.75,24366.75,1,NQU6
33,1,42004177,24379.75,24385.75,24379.75,24385.75,2,NQU6
33,1,42004177,24371.75,24371.75,24371.75,24371.75,1,NQU6
33,1,42004177,24394.0,24394.0,24394.0,24394.0,1,NQU6
33,1,42004177,24414.5,24415.0,24412.25,24412.25,3,NQU6
33,1,42004177,24402.25,24402.25,24402.25,24402.25,1,NQU6
33,1,42004177,24401.25,24401.25,24397.0,24397.0,2,NQU6
33,1,42004177,24411.0,24411.0,24411.0,24411.0,2,NQU6
33,1,42004177,24409.0,24410.25,24407.75,24407.75,4,NQU6
33,1,42004177,24406.5,24406.5,24406.5,24406.5,1,NQU6
